time,bus2_v,bus3_v,bus6_v,bus8_v,bus2_ω,bus3_ω,bus6_ω,bus8_ω,bus2_p,bus3_p,bus6_p,bus8_p,bus2_q,bus3_q,bus6_q,bus8_q,bus2_φ,bus3_φ,bus6_φ,bus8_φ
0.0,0.9944884514340001,0.9004861856444941,0.8835885116848206,0.9149019209703533,0.0,9.05381492350323e-22,0.0,0.0,0.39872045940324197,-0.8776814835089976,-0.10569501424975715,2.2461199566947698e-14,0.009159711561548285,-0.32560528957502477,0.09603394940759047,0.07647976028989431,-0.06973748718144841,-0.20894093725772053,-0.27634901082049385,-0.24913409385783888
0.01,0.9944884514340007,0.9004861856448222,0.8835885116848206,0.9149019209703533,1.5081880066949749e-13,4.230192749633216e-14,4.458200317942931e-15,6.328476211178421e-15,0.39872045939822554,-0.8776814835029223,-0.10569501425016281,-2.883804306463844e-13,0.009159711560047884,-0.32560528957482804,0.09603394940757731,0.07647976028978357,-0.06973748718145144,-0.2089409372569644,-0.27634901082049307,-0.24913409385783833
0.02,0.9944884514340023,0.900486185645088,0.8835885116848207,0.9149019209703536,5.589711642889127e-13,-2.0729416227633259e-13,4.011987574070022e-14,3.251668668392229e-14,0.39872045939379164,-0.8776814834976591,-0.10569501425066377,-6.197195534518585e-13,0.009159711558865805,-0.32560528957484147,0.09603394940748324,0.0764797602896489,-0.06973748718145124,-0.20894093725629542,-0.27634901082049,-0.24913409385783628
0.03,0.9944884514340049,0.9004861856453013,0.8835885116848211,0.9149019209703544,1.1555269493703165e-12,-6.874012796704902e-13,9.944565125829865e-14,7.398707425301568e-14,0.3987204593900392,-0.8776814834930674,-0.10569501425110134,-9.13998043916564e-13,0.009159711557959898,-0.3256052895750094,0.09603394940741428,0.07647976028954229,-0.06973748718144568,-0.20894093725570373,-0.2763490108204846,-0.2491340938578327
0.04,0.9944884514340081,0.90048618564547,0.8835885116848218,0.9149019209703552,1.8811293046382453e-12,-1.3455137752867792e-12,1.7640835289766355e-13,1.2705333431066662e-13,0.3987204593869391,-0.8776814834890794,-0.10569501425148514,-1.1775198871522008e-12,0.009159711557259757,-0.3256052895752931,0.09603394940736976,0.07647976028945876,-0.0697374871814332,-0.20894093725518018,-0.2763490108204768,-0.24913409385782767
0.05,0.9944884514340117,0.9004861856456017,0.8835885116848224,0.9149019209703564,2.685103361543455e-12,-2.136999337503038e-12,2.661945925440253e-13,1.887764249891592e-13,0.3987204593844598,-0.8776814834856308,-0.10569501425182587,-1.415059042164657e-12,0.009159711556708614,-0.3256052895756555,0.09603394940734397,0.0764797602893954,-0.06973748718141279,-0.20894093725471682,-0.27634901082046676,-0.24913409385782112
0.060000000000000005,0.9944884514340157,0.9004861856457023,0.8835885116848232,0.9149019209703576,3.5245895907790653e-12,-3.0241001974788748e-12,3.65033219525716e-13,2.567912980052414e-13,0.3987204593825657,-0.8776814834826653,-0.10569501425212918,-1.6308239481066522e-12,0.009159711556272054,-0.3256052895760726,0.09603394940733467,0.0764797602893491,-0.06973748718138391,-0.2089409372543067,-0.2763490108204546,-0.24913409385781307
0.07,0.9944884514340202,0.9004861856457766,0.8835885116848239,0.9149019209703589,4.363776657456465e-12,-3.975044041581421e-12,4.699665222911063e-13,3.292302435269287e-13,0.3987204593812168,-0.8776814834801321,-0.10569501425240205,-1.8281799685215816e-12,0.00915971155591747,-0.3256052895765268,0.09603394940733923,0.07647976028931654,-0.06973748718134638,-0.2089409372539434,-0.2763490108204403,-0.24913409385780363
0.08,0.9944884514340248,0.9004861856458297,0.8835885116848247,0.9149019209703604,5.173402251052685e-12,-4.963418607307365e-12,5.786674968618742e-13,4.046208216690528e-13,0.3987204593803635,-0.877681483477979,-0.10569501425264888,-2.010214911196684e-12,0.009159711555611953,-0.32560528957699614,0.09603394940735499,0.07647976028929611,-0.06973748718130042,-0.20894093725362123,-0.27634901082042396,-0.24913409385779275
0.09,0.9944884514340298,0.9004861856458649,0.8835885116848254,0.9149019209703617,5.9303207055237014e-12,-5.9674672753381245e-12,6.893276675973476e-13,4.817955262551519e-13,0.39872045937996203,-0.8776814834761644,-0.10569501425287404,-2.1787398274408787e-12,0.009159711555341173,-0.32560528957747037,0.09603394940737939,0.07647976028928531,-0.06973748718124642,-0.20894093725333523,-0.27634901082040564,-0.2491340938577805
0.09999999999999999,0.9944884514340347,0.9004861856458855,0.8835885116848261,0.9149019209703632,6.6165462146239825e-12,-6.9694729322995844e-12,8.005345153681698e-13,5.598402206545842e-13,0.3987204593799636,-0.8776814834746477,-0.10569501425307949,-2.336013327219888e-12,0.009159711555092188,-0.3256052895779452,0.09603394940741214,0.07647976028928233,-0.06973748718118505,-0.20894093725308105,-0.27634901082038543,-0.24913409385776694
0.10999999999999999,0.9944884514340401,0.9004861856458941,0.8835885116848265,0.9149019209703646,7.218879690143973e-12,-7.955220115644757e-12,9.11171600395893e-13,6.380395248347176e-13,0.3987204593803215,-0.8776814834733908,-0.10569501425326856,-2.483280941989463e-12,0.009159711554853161,-0.3256052895784066,0.09603394940744944,0.07647976028928631,-0.06973748718111708,-0.20894093725285473,-0.27634901082036345,-0.24913409385775204
0.11999999999999998,0.9944884514340454,0.9004861856458931,0.8835885116848271,0.914901920970366,7.728086547250055e-12,-8.913538905137088e-12,1.0203918431067925e-12,7.158116584475331e-13,0.39872045938098516,-0.8776814834723605,-0.10569501425344266,-2.6216841197967966e-12,0.009159711554619577,-0.32560528957885526,0.09603394940749027,0.07647976028929455,-0.06973748718104346,-0.2089409372526527,-0.27634901082033964,-0.24913409385773588
0.12999999999999998,0.994488451434051,0.9004861856458846,0.8835885116848275,0.9149019209703674,8.138902041378663e-12,-9.835920697199586e-12,1.1274809997294503e-12,7.927129522810969e-13,0.3987204593819098,-0.8776814834715251,-0.10569501425360293,-2.7517675638133454e-12,0.009159711554386583,-0.3256052895792846,0.0960339494075344,0.0764797602893078,-0.0697374871809651,-0.2089409372524719,-0.2763490108203142,-0.2491340938577185
0.13999999999999999,0.9944884514340568,0.9004861856458699,0.8835885116848278,0.9149019209703687,8.448929409635006e-12,-1.0716109966570919e-11,1.2318922524051011e-12,8.683915410747743e-13,0.3987204593830525,-0.8776814834708581,-0.10569501425375047,-2.8745165969734643e-12,0.009159711554155119,-0.3256052895796959,0.09603394940757906,0.07647976028932331,-0.06973748718088305,-0.20894093725230975,-0.27634901082028723,-0.24913409385769994
